time_ms, x_mm, y_mm, heading_deg
84, 0.0, 0.0, 0
153, 7.0, 0.0, 0
223, 14.0, 0.0, 0
294, 22.0, 0.0, 0
365, 28.0, 0.0, 0
434, 35.0, 0.0, 0
504, 43.0, 0.0, 0
574, 49.0, 0.0, 0
642, 56.00000000000001, 0.0, 0
713, 63.00000000000001, 0.0, 0
783, 70.0, 0.0, 0
857, 78.00000000000001, 0.0, 0
923, 84.0, 0.0, 0
991, 91.0, 0.0, 0
1057, 98.00000000000001, 0.0, 0
1123, 104.0, 0.0, 0
1192, 111.0, 0.0, 0
1260, 118.0, 0.0, 0
1326, 124.0, 0.0, 0
1394, 132.0, 0.0, 0
1467, 139.0, 0.0, 0
1532, 145.0, 0.0, 0
1601, 152.0, 0.0, 0
1671, 159.0, 0.0, 0
1741, 166.0, 0.0, 0
1810, 173.0, 0.0, 0
1876, 180.0, 0.0, 0
1943, 186.0, 0.0, 0
2012, 193.0, 0.0, 0
2082, 200.0, 0.0, 0
2151, 207.0, 0.0, 0
2217, 214.0, 0.0, 0
2284, 221.0, 0.0, 0
2352, 227.0, 0.0, 0
2420, 234.0, 0.0, 0
2488, 241.0, 0.0, 0
2557, 248.0, 0.0, 0
2623, 255.0, 0.0, 0
2693, 261.0, 0.0, 0
2760, 268.0, 0.0, 0
2825, 275.0, 0.0, 0
2894, 281.0, 0.0, 0
2962, 288.0, 0.0, 0
3030, 295.0, 0.0, 0
3099, 302.0, 0.0, 0
3164, 309.0, 0.0, 0
3232, 315.0, 0.0, 0
3298, 322.0, 0.0, 0
3363, 328.0, 0.0, 0
3430, 335.0, 0.0, 0
3501, 342.0, 0.0, 0
3570, 349.0, 0.0, 0
3635, 356.0, 0.0, 0
3703, 362.0, 0.0, 0
3766, 369.0, 0.0, 0
3832, 375.0, 0.0, 0
3903, 383.0, 0.0, 0
3971, 389.0, 0.0, 0
4037, 396.0, 0.0, 0
4104, 400.999238475782, 0.08726203218641757, 1
4173, 400.999238475782, 0.08726203218641757, 5
4236, 400.999238475782, 0.08726203218641757, 8
4305, 400.999238475782, 0.08726203218641757, 11
4370, 400.999238475782, 0.08726203218641757, 15
4434, 400.999238475782, 0.08726203218641757, 18
4499, 400.999238475782, 0.08726203218641757, 21
4562, 400.999238475782, 0.08726203218641757, 24
4630, 400.999238475782, 0.08726203218641757, 28
4700, 400.999238475782, 0.08726203218641757, 31
4764, 400.999238475782, 0.08726203218641757, 34
4832, 400.999238475782, 0.08726203218641757, 38
4898, 400.999238475782, 0.08726203218641757, 41
4964, 400.999238475782, 0.08726203218641757, 44
5032, 400.999238475782, 0.08726203218641757, 48
5100, 400.999238475782, 0.08726203218641757, 51
5166, 400.999238475782, 0.08726203218641757, 54
5233, 400.999238475782, 0.08726203218641757, 57
5296, 400.999238475782, 0.08726203218641757, 61
5362, 400.999238475782, 0.08726203218641757, 64
5428, 400.999238475782, 0.08726203218641757, 65
5493, 400.999238475782, 0.08726203218641757, 61
5561, 400.999238475782, 0.08726203218641757, 58
5627, 400.999238475782, 0.08726203218641757, 55
5694, 400.999238475782, 0.08726203218641757, 52
5757, 400.999238475782, 0.08726203218641757, 49
5823, 400.999238475782, 0.08726203218641757, 45
5893, 400.999238475782, 0.08726203218641757, 42
5960, 400.999238475782, 0.08726203218641757, 39
